op,op_type,source_path,load_time_deps,runtime_deps,dependency_groups,notes
image_nsfw_filter,filter,data_juicer/ops/filter/image_nsfw_filter.py,numpy,torch,core; generic,
image_pair_similarity_filter,filter,data_juicer/ops/filter/image_pair_similarity_filter.py,jsonargparse; numpy,torch,core; generic,
image_shape_filter,filter,data_juicer/ops/filter/image_shape_filter.py,numpy,,core,
image_size_filter,filter,data_juicer/ops/filter/image_size_filter.py,numpy,,core,
image_subplot_filter,filter,data_juicer/ops/filter/image_subplot_filter.py,numpy,opencv-contrib-python,core; vision,
image_text_matching_filter,filter,data_juicer/ops/filter/image_text_matching_filter.py,numpy; pillow,,core,
image_text_similarity_filter,filter,data_juicer/ops/filter/image_text_similarity_filter.py,numpy; pillow,,core,
image_watermark_filter,filter,data_juicer/ops/filter/image_watermark_filter.py,numpy,torch,core; generic,
in_context_influence_filter,filter,data_juicer/ops/filter/in_context_influence_filter.py,datasets; loguru,torch; transformers,core; generic,
instruction_following_difficulty_filter,filter,data_juicer/ops/filter/instruction_following_difficulty_filter.py,,torch; transformers,generic,
language_id_score_filter,filter,data_juicer/ops/filter/language_id_score_filter.py,,,,
llm_analysis_filter,filter,data_juicer/ops/filter/llm_analysis_filter.py,loguru; numpy; pydantic,torch; vllm,core; generic,
llm_difficulty_score_filter,filter,data_juicer/ops/filter/llm_difficulty_score_filter.py,,torch; vllm,generic,
llm_perplexity_filter,filter,data_juicer/ops/filter/llm_perplexity_filter.py,numpy,torch; transformers,core; generic,
llm_quality_score_filter,filter,data_juicer/ops/filter/llm_quality_score_filter.py,,torch; vllm,generic,
llm_task_relevance_filter,filter,data_juicer/ops/filter/llm_task_relevance_filter.py,datasets; loguru,torch; vllm,core; generic,
maximum_line_length_filter,filter,data_juicer/ops/filter/maximum_line_length_filter.py,,,,
perplexity_filter,filter,data_juicer/ops/filter/perplexity_filter.py,,,,
phrase_grounding_recall_filter,filter,data_juicer/ops/filter/phrase_grounding_recall_filter.py,loguru; numpy; pillow,nltk; torch,core; generic; nlp,
special_characters_filter,filter,data_juicer/ops/filter/special_characters_filter.py,,,,
specified_field_filter,filter,data_juicer/ops/filter/specified_field_filter.py,,,,
specified_numeric_field_filter,filter,data_juicer/ops/filter/specified_numeric_field_filter.py,,,,
stopwords_filter,filter,data_juicer/ops/filter/stopwords_filter.py,pydantic,,core,
suffix_filter,filter,data_juicer/ops/filter/suffix_filter.py,,,,
text_action_filter,filter,data_juicer/ops/filter/text_action_filter.py,,spacy-pkuseg,nlp,
text_embd_similarity_filter,filter,data_juicer/ops/filter/text_embd_similarity_filter.py,datasets; jsonargparse; loguru; numpy; tqdm,torch; transformers,core; generic,
text_entity_dependency_filter,filter,data_juicer/ops/filter/text_entity_dependency_filter.py,numpy,spacy-pkuseg,core; nlp,
